"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,60,164,0,0,0,0,0,0,0,0,72,923,12,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",17,61,163,0,0,0,0,0,230,1065,7,19,176,0,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",28,62,162,347,209,2413,14,9,40,262,1,0,0,0,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",23,63,161,0,0,0,0,0,217,901,6,54,330,1,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",27,64,160,0,0,0,0,0,202,812,6,43,417,1,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",27,65,159,297,178,2001,16,12,54,271,3,0,0,0,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",32,66,157,402,245,2645,15,13,30,208,1,0,0,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",25,66,157,0,0,0,0,0,201,802,6,38,330,2,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",29,68,156,0,0,0,0,0,254,1107,8,8,60,0,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",24,69,155,0,0,0,0,0,217,960,7,31,218,0,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",13,70,154,0,0,0,0,0,2,11,0,88,1057,8,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",22,71,150,0,0,0,0,0,253,931,6,33,253,0,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",15,71,150,0,0,0,0,0,0,0,0,85,1045,8,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",26,73,149,0,0,0,0,0,219,877,6,27,221,1,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",14,74,147,0,0,0,0,0,2,19,0,96,1129,6,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",18,74,147,0,0,0,0,0,4,26,0,65,1031,7,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",28,76,145,0,0,0,0,0,95,436,2,72,687,4,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",16,77,144,0,0,0,0,0,0,0,0,80,1042,7,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",22,78,142,0,0,0,0,0,2,12,0,61,1056,6,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",21,79,141,0,0,0,0,0,1,12,0,80,1043,6,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",17,80,140,0,0,0,0,0,0,0,0,80,1004,7,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",27,80,140,0,0,0,0,0,4,26,0,74,1087,5,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,80,140,0,0,0,0,0,0,0,0,63,920,8,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",31,83,139,0,0,0,0,0,6,50,0,84,1041,5,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",24,84,137,0,0,0,0,0,15,104,1,73,814,7,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",25,85,136,0,0,0,0,0,4,34,0,96,935,7,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",23,86,135,0,0,0,0,0,0,0,0,70,1076,5,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",19,87,133,0,0,0,0,0,0,0,0,76,998,6,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",28,88,132,0,0,0,0,0,0,0,0,90,1108,4,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",34,89,131,0,0,0,0,0,4,31,0,76,986,5,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",4,89,131,0,0,0,0,0,0,0,0,56,835,11,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",40,91,129,0,0,0,0,0,180,710,5,31,240,1,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",6,91,129,0,0,0,0,0,0,0,0,74,879,7,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",35,93,128,0,0,0,0,0,0,0,0,64,947,6,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",8,93,128,0,0,0,0,0,0,0,0,73,800,8,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","SEA",20,95,127,0,0,0,0,0,17,81,1,77,916,4,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",26,95,127,0,0,0,0,0,0,0,0,63,875,7,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",32,95,127,0,0,0,0,0,1,8,0,91,1051,4,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",33,95,127,0,0,0,0,0,7,42,0,65,893,6,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",36,95,127,0,0,0,0,0,4,19,0,57,928,6,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",30,100,126,0,0,0,0,0,1,19,0,77,971,5,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",30,101,125,388,230,2475,12,12,15,41,0,0,0,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",30,101,125,0,0,0,0,0,186,745,5,26,191,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",29,103,124,0,0,0,0,0,0,0,0,73,907,6,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",39,104,123,0,0,0,0,0,102,385,1,67,534,5,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",5,104,123,0,0,0,0,0,0,0,0,74,818,7,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",31,106,122,366,216,2435,11,12,24,79,0,0,0,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",35,106,122,0,0,0,0,0,206,814,3,23,210,1,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",38,108,121,0,0,0,0,0,2,14,0,69,967,4,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",32,109,119,0,0,0,0,0,143,559,6,36,260,1,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",39,109,119,0,0,0,0,0,0,0,0,64,970,4,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",31,111,118,0,0,0,0,0,98,380,2,69,469,4,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",37,111,118,0,0,0,0,0,0,0,0,63,882,5,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","NYJ",29,113,116,214,121,1617,10,8,41,266,1,0,0,0,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",7,114,114,0,0,0,0,0,0,0,0,70,842,5,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",40,115,111,0,0,0,0,0,0,0,0,50,816,5,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",33,116,110,0,0,0,0,0,127,563,4,36,286,1,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",33,117,106,252,154,1702,11,8,26,102,1,0,0,0,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",9,118,105,0,0,0,0,0,0,0,0,56,576,8,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",44,119,103,0,0,0,0,0,0,0,0,57,673,6,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",11,119,103,0,0,0,0,0,0,0,0,63,735,5,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",10,121,102,0,0,0,0,0,0,0,0,61,689,6,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",46,122,100,0,0,0,0,0,0,0,0,47,761,4,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",47,122,100,0,0,0,0,0,0,0,0,55,842,3,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",42,124,99,0,0,0,0,0,0,0,0,66,752,4,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",34,125,98,235,143,1550,10,7,23,61,1,0,0,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",41,125,98,0,0,0,0,0,0,0,0,65,767,4,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",53,125,98,0,0,0,0,0,0,0,0,57,703,5,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",34,128,96,0,0,0,0,0,40,176,1,73,598,3,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",36,128,96,0,0,0,0,0,166,733,4,4,34,0,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",45,128,96,0,0,0,0,0,0,0,0,43,722,4,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",43,131,95,0,0,0,0,0,0,0,0,56,676,5,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",48,131,95,0,0,0,0,0,0,0,0,43,675,5,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",47,133,92,0,0,0,0,0,112,509,7,7,45,0,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",50,133,92,0,0,0,0,0,0,0,0,50,680,4,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",38,135,91,0,0,0,0,0,121,607,5,2,11,0,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",52,136,90,0,0,0,0,0,0,0,0,60,666,4,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",51,137,89,0,0,0,0,0,9,52,0,47,566,5,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",65,137,89,0,0,0,0,0,0,0,0,43,612,5,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",67,137,89,0,0,0,0,0,0,0,0,47,691,4,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",64,140,88,0,0,0,0,0,0,0,0,59,786,2,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",69,140,88,0,0,0,0,0,0,0,0,51,704,3,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",13,140,88,0,0,0,0,0,0,0,0,50,646,4,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",48,143,87,0,0,0,0,0,136,517,5,10,80,0,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",66,143,87,0,0,0,0,0,0,0,0,59,699,3,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",12,143,87,0,0,0,0,0,0,0,0,55,598,5,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",77,146,86,0,0,0,0,0,0,0,0,39,628,4,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","NE",56,147,85,0,0,0,0,0,2,12,0,42,609,4,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",60,147,85,0,0,0,0,0,0,0,0,43,671,3,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",14,147,85,0,0,0,0,0,0,0,0,61,673,5,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",49,150,84,0,0,0,0,0,13,121,1,46,524,3,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",55,150,84,0,0,0,0,0,6,25,0,62,645,3,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",15,150,84,0,0,0,0,0,0,0,0,54,604,4,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",41,153,83,0,0,0,0,0,140,519,5,6,41,0,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",57,153,83,0,0,0,0,0,2,14,0,52,646,3,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",37,155,82,0,0,0,0,0,115,470,3,21,191,0,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",59,155,82,0,0,0,0,0,3,24,0,34,563,4,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",62,155,82,0,0,0,0,0,2,17,0,43,597,4,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",82,155,82,0,0,0,0,0,3,12,0,43,632,3,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",16,155,82,0,0,0,0,0,0,0,0,38,584,4,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",43,160,81,0,0,0,0,0,147,526,3,22,110,0,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",54,160,81,0,0,0,0,0,0,0,0,48,590,4,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham","NYG",63,160,81,0,0,0,0,0,3,15,0,37,586,4,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","WAS",70,163,79,0,0,0,0,0,3,17,0,40,545,4,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",42,164,78,0,0,0,0,0,108,443,4,17,123,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",64,164,78,0,0,0,0,0,43,177,1,53,476,2,NA,NA,NA
"DEXTERMCCLUSTER","WR","Dexter McCluster","TEN",58,164,78,0,0,0,0,0,43,177,1,53,476,2,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",61,164,78,0,0,0,0,0,2,17,0,44,617,3,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",44,168,76,0,0,0,0,0,139,531,3,12,77,0,NA,NA,NA
"MARVINJONES","WR","Marvin Jones","CIN",81,168,76,0,0,0,0,0,6,48,0,41,483,4,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",76,170,75,0,0,0,0,0,0,0,0,56,657,2,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",19,170,75,0,0,0,0,0,0,0,0,61,632,2,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",71,172,74,0,0,0,0,0,0,0,0,37,525,4,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",92,172,74,0,0,0,0,0,4,31,0,41,671,1,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",50,174,73,0,0,0,0,0,113,495,3,16,108,0,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","JAC",59,174,73,0,0,0,0,0,92,330,2,29,224,1,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",70,174,73,0,0,0,0,0,74,273,4,29,167,1,NA,NA,NA
"JEROMESIMPSON","WR","Jerome Simpson","MIN",72,174,73,0,0,0,0,0,0,0,0,46,572,3,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",73,174,73,0,0,0,0,0,2,11,0,40,545,3,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",17,174,73,0,0,0,0,0,0,0,0,37,433,5,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",80,180,72,0,0,0,0,0,0,0,0,39,600,2,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",86,180,72,0,0,0,0,0,5,19,0,51,616,2,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",46,182,71,0,0,0,0,0,84,375,2,22,169,1,NA,NA,NA
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",78,182,71,0,0,0,0,0,0,0,0,39,538,3,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",18,182,71,0,0,0,0,0,0,0,0,33,476,4,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",25,182,71,0,0,0,0,0,0,0,0,47,537,3,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",53,186,70,0,0,0,0,0,127,511,2,20,115,0,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",79,186,70,0,0,0,0,0,0,0,0,50,602,2,NA,NA,NA
"ROYHELU","RB","Roy Helu","WAS",54,188,69,0,0,0,0,0,53,216,2,37,281,2,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",84,188,69,0,0,0,0,0,0,0,0,41,536,3,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",21,190,68,0,0,0,0,0,0,0,0,45,505,3,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",74,191,67,0,0,0,0,0,0,0,0,36,513,3,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",83,191,67,0,0,0,0,0,0,0,0,33,492,3,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",100,193,66,0,0,0,0,0,6,29,0,48,540,2,NA,NA,NA
"JAMESSTARKS","RB","James Starks","GB",51,194,65,0,0,0,0,0,94,402,3,9,70,0,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",52,194,65,0,0,0,0,0,89,362,4,12,71,0,NA,NA,NA
"TEDGINN","WR","Ted Ginn","ARI",88,194,65,0,0,0,0,0,5,28,0,29,452,3,NA,NA,NA
"MARCELREECE","RB","Marcel Reece","OAK",67,197,64,0,0,0,0,0,47,216,1,42,398,0,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",23,197,64,0,0,0,0,0,0,0,0,29,345,5,NA,NA,NA
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",45,199,62,0,0,0,0,0,101,456,2,9,74,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",49,199,62,0,0,0,0,0,109,391,4,2,11,0,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","SD",87,199,62,0,0,0,0,0,3,13,0,42,431,3,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","CLE",89,199,62,0,0,0,0,0,2,10,0,35,390,4,NA,NA,NA
"RYANGRIFFIN","TE","Ryan Griffin","HOU",26,199,62,0,0,0,0,0,0,0,0,39,440,3,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",30,199,62,0,0,0,0,0,0,0,0,33,446,3,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",35,205,61,159,98,1148,8,8,17,49,0,0,0,0,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",61,206,60,0,0,0,0,0,89,403,1,13,106,1,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",85,206,60,0,0,0,0,0,0,0,0,33,363,4,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",55,208,59,0,0,0,0,0,95,415,3,7,45,0,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",91,208,59,0,0,0,0,0,0,0,0,36,476,2,NA,NA,NA
"MYCHALRIVERA","TE","Mychal Rivera","OAK",29,208,59,0,0,0,0,0,0,0,0,37,414,3,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",75,211,58,0,0,0,0,0,0,0,0,35,463,2,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",56,212,57,0,0,0,0,0,76,302,1,20,154,1,NA,NA,NA
"JOSHGORDON","WR","Josh Gordon","CLE",68,212,57,0,0,0,0,0,2,11,0,22,383,3,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",20,212,57,0,0,0,0,0,0,0,0,35,411,3,NA,NA,NA
